document_id,Cleaned_Text,sentiment
1,sure bashers pens fans pretty confused lack kind posts recent pens massacre devils actually bit puzzled bit relieved however going put end nonpittsburghers relief bit praise pens man killing devils worse thought jagr showed much better regular season stats also lot fo fun watch playoffs bowman let jagr lot fun next couple games since pens going beat pulp jersey anyway disappointed see islanders lose final regular season game pens rule,neutral
2,brother market highperformance video card supports vesa local bus mb ram anyone suggestionsideas diamond stealth pro local bus orchid farenheit ati graphics ultra pro highperformance vlb card please post email thank matt,neutral
3,finally said dream mediterranean new area greater years like holocaust numbers ist july usa sweden april still cold changed calendar nothing mentioned true let say true shall azeri women children going pay price raped killed tortured armenians hearded something called geneva convention facist ohhh forgot armenians fight nobody forgot killings rapings torture kurds turks upon time ohhhh swedish redcross workers lie ever say regional killer dont like person shoot thats policyl confused search turkish planes dont know talking turkeys government announced giving weapons azerbadjan since armenia started attack azerbadjan self karabag province search plane weapons since content announced weapons one thats confused thats right give weapons azeris since armenians started fight azerbadjan shoot armenian bread butter arms personel russian army,positive
4,think scsi card dma transfers disks scsi card dma transfers containing data scsi devices attached wants important feature scsi ability detach device frees scsi bus devices typically used multitasking os start transfers several devices device seeking data bus free commands data transfers devices ready transfer data aquire bus send data ide bus start transfer bus busy disk seeked data transfered typically ms second lock processes wanting bus irrespective transfer time,neutral
5,old jasmine drive cannot use new system understanding upsate driver modern one order gain compatability system anyone know inexpensive program seen formatters buit idea work another ancient device one tape drive back utility freezes system try use drive jasmine direct tape bought used w tapes techmar mechanism essentially question anyone know inexpensive beckup utility use system,neutral
6,back high school worked lab assistant bunch experimental psychologists bell labs visual perception memory experiments used vectortype displays millisecond refresh rates common case th sec quite practical experimenters probably sure milliseconds either steve,neutral
7,ae dallastry tech support may line one get started,neutral
8,stuff deleted ok heres solution problem move canada yesterday able watch four gamesthe njpitt abc lacal cbc buffbos tsn fox monque cbc think series goes max could watching hockey playoffs odd consecutive nights havent counted thats pure guess two tvs house set sidebyside watch monque keep eye bosbuff time two afternoon games btw abc commentaters great quite impressed seemed know audience wasnt likely wellschooled hockey lore excellent job quite impartial also imo,positive
9,yeah second one believe price ive trying get good look bruinsabre telecasts wow ever look good whoever paint job knew given fuhrs play since got bet bruins wishing didnt,positive
10,christian means someone believes divinity jesus safe say jesus christian first day christmas truelove served leftover turkey second day christmas truelove served turkey casserole made leftover turkey days deleted flaming turkey wings pizza hut commercial mtluagic bait,positive
11,blood lamb hard task cultures used animals blood sacrifices something related current postmodernism state hmm used computers cheers kent,neutral
12,say history untrustworthy behavoirsic,neutral
13,thou wilt shall whole law honestly word sin restriction would kid one mans words encompass majestic vision thousands individuals quoting man quoting order taken context words interpreted much differently one applied within confines original expression think case regarding hymenaeus beta frater superior order belong included bit merlinus x us service showed us extremes order members known go fervor little knowledge regarding reuss background surely unusual man important force order many years yet people change orders change look back carefully dirty laundry oto remember surface skim many perspectives encompassed extend beyond one individual hope show much room difference opinion within order perhaps testing limits let us examine issue bit closely karl kellner wealthy austrian industrialist paper chemist well highgrade mason founded ordo templi orientis kellner traveled widely east met three adepts instructed specific magical practices kellners efforts develop order later assisted franz hartmann heinrich klein theodore reuss worked together prior joining oto order first proclaimed reusss masonic publication oriflamme kellners death reuss succeeded outer head oho jubilee edition oriflamme published announced order taught secret sexual magic theodore reuss interesting character born june augsburg entered masonry singer journalist possibly spy prussian political police infiltrating socialist league founded karl marxs daughter husband reuss later associated william wynn westcott leader golden dawn later introduced john yarker yarker chartered reuss found rites memphis mizraim germany several attempts concretize various masonic rites reuss settled development oto order experienced reasonably steady growth reuss leadership example chartered papus france rudolph steiner berlin h spencer lewis usa historic meeting reuss crowley occurred crowley wrote reuss came accused revealing order secrets crowley looked afresh initiated interpretation sexual magick unfolded first time reuss appointed crowley supreme holy king english speaking world authorization invoked publishing material equinox reuss resigned outer head order suffering stroke named crowley successor well book law translated german break continuity order manyk members split new oho book crowley actively promulgating order earlier revise dthe order rituals reusss request deeply infusing doctrines new aeon revelation introduction history oto ad veritatem ix within equinox iii edited hymenaeus beta frater superior rex summus sanctissimus caliph united states america published samuel weiser many possible reasons frater superior included material equinox iii real point wish publish things history organization represent dogmatic threat principle thelema exercising true putting forth complex pictures easy answers picture leaves room many interpretations quite easy see example oto derived dribble faltering masonry purchased clever hucksters ounce courage writing ability aid take way present caliph whose feeble support law thelema laughable best would thrown order speaking way think frater see perspective interjection using example illustration shows may express things context larger work true significance may quite difficult apprehend first may oto merlinus x please look oto carefully support reusss words qualified assess critical pomposity member order take stand allowed continue say health order mean order gone soft abandoned moral principles mean strong ability let universal kinship arise shackled dogmatic requirement shall resolve two possibilities find high calibre individual associated ordo templi orientis often quite intelligent sometimes well versed arcane usual information quite often artists geniuses met longstanding members sf bay area many heavily involved order vouch integrity organization stands sometimes questioned policy hymenaeus beta moments followed intuition ive found little stop requesting second initiation different oto body im happily participating social groups feasts initiations come know gnostic mass well enough tastes doesnt make authority order politics explanations however hypothesize relay understand based limited contact members urge take words merlinus x far many ways interpret words many people become involved order feel strongly sanctity personal freedom preservation individual vision welcome comment issue writing response posts thread invoke stars love law love,neutral
14,kirlian imaging believe faq sciskeptics sp nice writeup would certainly supportive helping build device connect kvolt supply take serious look aura,neutral
15,notion heliocentric even galacticentric either,neutral
